SKU,created_at,day,pSupplierSKU,psupplierCode,qty_count,order_count,price,pName
1500622828,"2014-12-24 16:26:02",4,5050-60-CIP68-RGB-EU,151-0003,2,2,51.48,"RGB LED Strip Light 60W 300*5050SMD IP68 Gift Box with Remote Controller and Adapter-EU Plug(AC110-256V/5m)"
1100927273,"2014-12-24 16:53:28",0,335-CWCW,122-0002,2,1,34.15,"LED Fog Light 33W Cool White Angel Eyes(DC9-30V)"
1000728301,"2014-12-24 18:01:37",4,PC-SPS5W-W-WW,206-0005,21,3,3.58,"LED Spot Bulb GU10 5W 450-500LM 10xSMD5730 Warm White-White Shell(AC85-265V)"
1000725865,"2014-12-24 18:17:15",0,BE-G5.3-3W-WW,141-0005,4,1,3.58,"LED Spot Bulb G5.3 3W 240LM 3-LED High Power Warm White-Silver(AC85-265V)"
1030923113,"2014-12-24 18:24:51",5,CL-LZ-35-CW,119-0015,15,2,4.33,"LED Candle Bulb E27 4W 320Lm Cool White-Golden(AC85-265V)"
1010711378,"2014-12-24 20:55:25",0,3.5W-E27-WW,119-0006,1,1,3.90,"3.5W LED Ball Bulb E27 245Lm AC200-240V Warm White "
1500622626,"2014-12-24 20:59:39",4,5050-60-BIP68-RGB-EU,151-0003,3,3,51.15,"RGB LED Strip Light 60W 300*5050SMD IP68 with 44-Button Remote Controller and Adapter-EU Plug(AC110-256V/5m)"
1500022471,"2014-12-24 21:34:12",0,3528-60-AIP67-R,151-0003,1,1,15.57,"LED Flexible Strip 20W 300*3528SMD IP67 Casing Pipe Red Light(DC12V/5m)"
1500322474,"2014-12-24 21:34:12",0,3528-60-AIP67-Y,151-0003,1,1,15.57,"LED Flexible Strip 20W 300*3528SMD IP67 Casing Pipe Yellow Light(DC12V/5m)"
1500122472,"2014-12-24 21:34:12",0,3528-60-AIP67-G,151-0003,1,1,15.57,"LED Flexible Strip 20W 300*3528SMD IP67 Casing Pipe Green Light(DC12V/5m)"
1300920314,"2014-12-24 22:23:35",0,SF-713-1,141-0006,6,1,9.51,"LED White Light Flashlight CREE XP-E R2 180LM 3-Mode With Charger(1x18650,Grey) EU Standard"
1010711340,"2014-12-25 03:09:16",0,JWB-12W-001-WW,119-0016,1,1,11.71,"12W LED Ball Bulb  E27 AC110-240V Dimmable Warm White"
1030726169,"2014-12-25 06:43:24",5,LX-LZD-52,119-0014,20,4,4.88,"LED Candle Bulb B22 3.5W 150-180LM 6xSMD5630 Warm White Dimmable-Golden(AC220-240V)"
1010828048,"2014-12-25 06:43:24",0,LX-G70-B22-15SMD-NW,119-0014,12,1,5.37,"LED Ball Bulb G70 B22 5.5W 300-360LM 15xSMD5730 Natural White(AC110-240V)"
1000920119,"2014-12-25 11:21:46",0,SPM-4W-002CW,119-0016,2,1,3.90,"LED Spot Bulb 4W E27 AC100-220V Cool White Dimmable"
2400925859,"2014-12-25 13:42:04",0,S10,141-0005,2,2,10.41,"LED Headlamp Cree XP-E R3 + 2-LED 180LM White/Red Light Switch Induction-Black+Fluorescent Green(3xAAA)"
